Representative Exchange Rates for Selected Currencies for October 2023
Currency	October 02, 2023	October 03, 2023	October 04, 2023	October 05, 2023	October 06, 2023	October 10, 2023	October 11, 2023	October 12, 2023	October 13, 2023	October 16, 2023	October 17, 2023
Chinese yuan	NA	NA	NA	NA	NA	7.295100	7.298500	7.299300	7.307000	7.311400	7.314500
Euro(1)	1.053000	1.046900	1.049700	1.052600	1.056300	1.058200	1.060400	1.061900	1.052400	1.053800	1.056900
Japanese yen	149.720000	149.860000	149.240000	148.800000	148.620000	148.550000	148.600000	149.140000	149.830000	149.540000	149.550000
U.K. pound(1)	1.215600	1.205850	1.212400	1.213700	1.221150	1.225700	1.229250	1.229550	1.216800	1.215150	1.215950
U.S. dollar	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Algerian dinar	137.329000	137.726100	137.732000	137.590800	137.367100	137.272900	137.008000	137.164100	137.452700	137.629500	137.511700
Australian dollar(1)	NA	0.631600	0.632100	0.637200	0.636800	0.641100	0.642100	0.642300	0.631700	0.632300	0.635500
Botswana pula(1)	NA	NA	0.072000	0.072300	0.072000	0.072400	0.072900	0.073300	0.072800	0.072900	0.073200
Brazilian real	5.067300	5.109400	5.152000	5.170700	5.191200	5.085600	5.049000	NA	5.061900	5.061200	5.037800
Brunei dollar	1.368700	1.374300	1.375100	1.369100	1.367300	1.365700	1.363200	1.362500	1.369200	1.369600	1.368600
Canadian dollar	NA	1.371100	1.374300	1.373300	1.368300	1.359100	1.360300	1.365700	1.366100	1.361900	1.364700
Chilean peso	895.600000	902.260000	914.300000	913.260000	917.340000	919.420000	927.070000	924.810000	933.450000	942.040000	942.800000
Czech koruna	23.227000	23.384000	23.229000	23.204000	23.146000	23.212000	23.149000	23.128000	23.443000	23.414000	23.280000
Danish krone	7.083100	7.124300	7.105700	7.085100	7.060000	7.046300	7.032000	7.021600	7.086800	7.078400	7.059300
Indian rupee	NA	83.181200	83.258800	83.241300	83.238800	83.255600	83.236800	83.183400	83.257400	83.263200	83.255500
Israeli New Shekel	3.829000	3.845000	3.861000	3.859000	3.863000	3.951000	3.956000	3.958000	3.969000	3.990000	4.008000
Korean won	NA	NA	1,351.300000	1,360.600000	1,349.400000	1,348.300000	1,348.300000	1,339.600000	1,339.900000	1,349.400000	1,353.800000
Kuwaiti dinar	0.309000	0.309200	0.309200	0.309000	NA	0.308800	0.308700	0.308700	NA	0.308900	0.308900
Malaysian ringgit	4.704500	4.725000	4.735000	4.721000	4.719500	4.734500	4.726500	4.721500	4.733500	4.739000	4.732000
Mauritian rupee	44.624400	44.937900	44.550800	44.379000	44.453100	44.406200	44.312700	44.381800	44.655100	44.728400	44.542100
Mexican peso	17.592000	17.902500	18.017000	18.240700	18.183700	17.991700	17.842000	17.913200	18.036200	17.956800	17.909700
New Zealand dollar(1)	0.599300	0.593850	0.590450	0.593350	0.596600	0.602950	0.604900	0.601900	0.592700	0.590600	0.590650
Norwegian krone	10.752600	10.913900	10.968400	10.992100	10.990200	10.864200	10.840500	10.845200	10.942600	10.929000	10.952800
Omani rial	0.384500	0.384500	0.384500	NA	NA	NA	0.384500	0.384500	NA	0.384500	0.384500
Peruvian sol	3.793000	3.806000	3.813000	3.819000	3.823000	3.820000	3.822000	3.836000	3.842000	3.853000	3.854000
Philippine peso	56.660000	56.728000	56.880000	56.749000	56.632000	56.876000	56.884000	56.745000	56.743000	56.821000	56.836000
